epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,710.732,2.54993,3.45251,2.18153,0.12145,0.06417,0.02765,0.00813,2.61015,3.51664,2.29745,0.000333042,0.000333042,0.0670288
2,1483.89,2.51698,3.32401,2.17086,0.12844,0.08214,0.04087,0.01261,2.52935,3.31925,2.22421,0.000659778,0.000659778,0.0340222
3,2249.21,2.49706,3.29991,2.13348,0.10781,0.07919,0.03831,0.01157,2.49913,3.45268,2.14905,0.000979914,0.000979914,0.00100905
4,3012.33,2.46384,3.24768,2.09199,0.13274,0.12493,0.04807,0.01512,2.44358,3.42867,2.14004,0.0009703,0.0009703,0.0009703
5,3837.3,2.41936,3.19911,2.073,0.15686,0.10046,0.05265,0.01657,2.42193,3.30224,2.12154,0.0009604,0.0009604,0.0009604
6,4664.89,2.38886,3.17102,2.05251,0.15247,0.12157,0.06021,0.02003,2.39047,3.21406,2.09568,0.0009505,0.0009505,0.0009505
7,5440.7,2.38082,3.14777,2.03756,0.14076,0.11783,0.05366,0.01744,2.35577,3.20042,2.10289,0.0009406,0.0009406,0.0009406
8,6194.42,2.36059,3.10912,2.01734,0.12673,0.12369,0.05231,0.01732,2.35029,3.20665,2.07097,0.0009307,0.0009307,0.0009307
9,6962.51,2.35424,3.10411,2.02207,0.16145,0.10476,0.05819,0.01947,2.33521,3.14087,2.03821,0.0009208,0.0009208,0.0009208
10,7782.73,2.34023,3.0808,2.01309,0.17345,0.12218,0.06708,0.02211,2.32138,3.11301,2.05196,0.0009109,0.0009109,0.0009109
11,8711.79,2.32855,3.05972,1.99475,0.16661,0.12621,0.07064,0.02386,2.31428,3.07184,2.02818,0.000901,0.000901,0.000901
12,9492.46,2.31799,3.04248,1.98006,0.17893,0.13335,0.07332,0.02473,2.29911,3.03073,2.02253,0.0008911,0.0008911,0.0008911
13,10259.5,2.31251,3.02448,1.97857,0.16149,0.14852,0.07122,0.0242,2.28935,3.03523,2.00673,0.0008812,0.0008812,0.0008812
14,11063.5,2.30391,3.0214,1.96802,0.1656,0.14763,0.07645,0.02547,2.30286,3.06953,1.98142,0.0008713,0.0008713,0.0008713
15,11848.9,2.29503,3.01043,1.95581,0.16901,0.14033,0.07357,0.02496,2.26645,3.03948,1.99282,0.0008614,0.0008614,0.0008614
16,12627,2.29216,2.99289,1.95388,0.16265,0.14458,0.07378,0.02544,2.26547,3.02027,1.98204,0.0008515,0.0008515,0.0008515
17,13414.5,2.28029,2.99103,1.95057,0.18273,0.14662,0.08224,0.02893,2.26675,2.97609,2.00331,0.0008416,0.0008416,0.0008416
18,14187.5,2.27358,2.97798,1.93746,0.17537,0.15051,0.08206,0.02835,2.25062,2.99304,1.97243,0.0008317,0.0008317,0.0008317
19,14958.9,2.27262,2.96376,1.93475,0.17908,0.15234,0.08179,0.02876,2.24494,2.97363,1.9727,0.0008218,0.0008218,0.0008218
20,15827.7,2.27467,2.95343,1.93351,0.18475,0.14858,0.0847,0.02914,2.24484,2.95552,1.96949,0.0008119,0.0008119,0.0008119
21,16624.7,2.26749,2.95992,1.93434,0.17224,0.15391,0.08256,0.02884,2.23789,2.96576,1.95842,0.000802,0.000802,0.000802
