epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,408.721,1.82307,3.6457,2.05755,0.1241,0.10575,0.05182,0.01587,2.23473,3.52147,2.34499,0.00999444,0.00333148,0.00999444,0.00333148,0.00999444,0.00333148,0.00999444,0.00333148
2,769.94,1.76547,3.28318,2.05329,0.27808,0.12071,0.05225,0.01569,2.22454,3.76868,2.38035,0.0199896,0.00666319,0.0199896,0.00666319,0.0199896,0.00666319,0.0199896,0.00666319
3,1111.9,1.80043,3.4289,2.12028,0.27508,0.08196,0.03871,0.01122,2.27612,3.97493,2.4996,0.0299651,0.00998838,0.0299651,0.00998838,0.0299651,0.00998838,0.0299651,0.00998838
4,1454.4,1.79354,3.44508,2.14214,0.27879,0.12062,0.05305,0.01561,2.18415,3.63858,2.39302,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1792.96,1.74665,3.3493,2.09385,0.12192,0.11336,0.05776,0.01848,2.07071,3.58528,2.27224,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2124.86,1.69645,3.27099,2.06129,0.12667,0.13254,0.071,0.02274,2.08643,3.47267,2.29616,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2460.18,1.66922,3.2221,2.04221,0.15414,0.14739,0.07871,0.02536,2.04024,3.43339,2.25322,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2791.68,1.65106,3.1794,2.02545,0.16985,0.14073,0.07321,0.02334,2.01864,3.40299,2.25124,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3117.76,1.63159,3.14722,2.01555,0.15306,0.1641,0.08798,0.02863,1.99833,3.32516,2.222,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3461.05,1.6173,3.11988,1.99923,0.16582,0.16324,0.09041,0.03017,1.98317,3.31873,2.18838,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
